ID,email,first_name,last_name,date_sign_up
550e8400-e29b-41d4-a716-446655440000,alice.smith@example.com,Alice,Smith,2021-01-15T10:00:00Z
f47ac10b-58cc-4372-a567-0e02b2c3d479,bob.jones@example.com,Bob,Jones,2022-05-20T08:30:00Z
9c858901-8a57-4791-81fe-4c455b099bc9,charlie.longlastname@example.com,Charlie,Longlastnamewith40charsMAXXXXXX,2023-12-01T12:00:00Z
7c9e6679-7425-40de-944b-e07fc1f90ae7,noatsymbol.com,Dana,ErrorCase,2024-06-11T09:00:00Z
16fd2706-8baf-433b-82eb-8c7fada847da,eve@example.com,Eve,Doe,2019-03-05T07:45:00Z
886313e1-3b8a-5372-9b90-0c9aee199e5d,frank@example.com,Frank,Miller,2025-01-01T00:00:00Z
f8a3a1f4-2e5a-46e8-9df1-f94f6c2d5d8e,grace@example.com,Grace,Li,2020-07-25T11:15:00Z
6fa459ea-ee8a-3ca4-894e-db77e160355e,hannah@example.com,Hannah,Wang,2022-10-30T13:20:00Z
5df41881-3aed-3515-88a7-2f4a814cf09e,ivan@example.com,Ivan,Petrov,2023-09-19T18:00:00Z
e902893a-9d22-3c7e-a7b8-d6e313b71d9f,john.doe@example.com,John,Doe,2024-04-14T15:45:00Z
